"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2022","2,569.80","2,556.96","2,612.33","2,555.85","567.25M","0.50%"
"03/11/2022","2,556.96","2,606.50","2,670.05","2,525.20","1.28B","-1.90%"
"03/10/2022","2,606.50","2,726.94","2,731.37","2,559.90","1.46B","-4.42%"
"03/09/2022","2,726.94","2,577.21","2,772.09","2,569.13","1.52B","5.81%"
"03/08/2022","2,577.21","2,492.53","2,623.99","2,483.29","1.44B","3.40%"
"03/07/2022","2,492.53","2,549.40","2,645.41","2,447.74","1.58B","-2.23%"
"03/06/2022","2,549.40","2,665.42","2,673.19","2,542.19","881.09M","-4.35%"
"03/05/2022","2,665.42","2,622.15","2,684.50","2,592.07","709.87M","1.65%"
"03/04/2022","2,622.15","2,834.78","2,835.94","2,575.63","1.50B","-7.50%"
"03/03/2022","2,834.91","2,947.03","2,967.90","2,789.87","521.36K","-3.81%"
"03/02/2022","2,947.14","2,975.80","3,041.84","2,914.70","740.37K","-0.96%"
"03/01/2022","2,975.81","2,922.44","3,036.59","2,858.54","828.62K","1.82%"
"02/28/2022","2,922.50","2,616.34","2,949.44","2,574.12","899.19K","11.70%"
"02/27/2022","2,616.34","2,779.55","2,834.61","2,562.94","804.74K","-5.78%"
"02/26/2022","2,776.96","2,767.58","2,856.01","2,734.56","520.44K","0.34%"
"02/25/2022","2,767.53","2,596.52","2,830.31","2,573.39","828.87K","6.59%"
"02/24/2022","2,596.52","2,578.54","2,732.02","2,303.07","1.85M","0.71%"
"02/23/2022","2,578.15","2,637.38","2,749.80","2,578.15","636.50K","-2.20%"
"02/22/2022","2,636.13","2,569.19","2,663.01","2,501.40","841.13K","2.58%"
"02/21/2022","2,569.87","2,619.32","2,755.58","2,560.24","996.71K","-1.89%"
"02/20/2022","2,619.32","2,763.97","2,764.46","2,577.52","508.49K","-5.23%"
"02/19/2022","2,763.81","2,779.44","2,829.20","2,699.70","377.08K","-0.57%"
"02/18/2022","2,779.56","2,893.78","2,943.14","2,754.15","623.19K","-3.96%"
"02/17/2022","2,894.03","3,122.33","3,159.83","2,855.66","661.98K","-7.21%"
"02/16/2022","3,118.90","3,182.32","3,184.88","3,045.92","416.70K","-1.99%"
"02/15/2022","3,182.27","2,929.29","3,193.18","2,912.61","540.04K","8.64%"
"02/14/2022","2,929.31","2,871.06","2,963.70","2,834.13","477.24K","2.06%"
"02/13/2022","2,870.25","2,917.16","2,952.94","2,838.29","303.12K","-1.61%"
"02/12/2022","2,917.10","2,927.64","2,984.72","2,858.85","433.29K","-0.36%"
"02/11/2022","2,927.63","3,071.80","3,136.33","2,880.60","607.93K","-4.69%"
"02/10/2022","3,071.83","3,243.73","3,277.36","3,058.59","742.54K","-5.30%"
"02/09/2022","3,243.62","3,115.91","3,266.41","3,055.95","477.82K","4.10%"
"02/08/2022","3,115.88","3,139.65","3,228.86","3,029.70","664.45K","-0.77%"
"02/07/2022","3,140.18","3,056.29","3,185.77","2,995.59","568.42K","2.75%"
"02/06/2022","3,056.20","3,013.75","3,073.23","2,957.16","316.58K","1.41%"
"02/05/2022","3,013.81","2,994.74","3,058.88","2,963.11","473.62K","0.63%"
"02/04/2022","2,994.99","2,692.80","2,994.99","2,671.72","908.75K","11.22%"
"02/03/2022","2,692.80","2,680.66","2,723.97","2,579.80","549.27K","0.44%"
"02/02/2022","2,681.00","2,787.16","2,809.57","2,618.07","602.40K","-3.81%"
"02/01/2022","2,787.16","2,686.82","2,808.60","2,676.32","521.74K","3.73%"
"01/31/2022","2,686.82","2,602.71","2,704.64","2,478.85","601.73K","3.23%"
"01/30/2022","2,602.77","2,600.12","2,636.04","2,543.99","381.84K","0.11%"
"01/29/2022","2,600.02","2,545.95","2,632.51","2,520.14","484.18K","2.12%"
"01/28/2022","2,545.95","2,424.66","2,556.34","2,362.53","634.50K","5.00%"
"01/27/2022","2,424.66","2,462.25","2,515.19","2,317.30","774.54K","-1.49%"
"01/26/2022","2,461.41","2,458.07","2,719.32","2,405.66","1.05M","0.14%"
"01/25/2022","2,458.07","2,441.01","2,504.32","2,352.36","656.03K","0.70%"
"01/24/2022","2,441.01","2,540.81","2,540.81","2,161.55","1.56M","-3.93%"
"01/23/2022","2,540.81","2,412.52","2,547.19","2,373.85","766.83K","5.32%"
"01/22/2022","2,412.52","2,570.67","2,621.21","2,311.80","1.48M","-6.17%"
"01/21/2022","2,571.29","3,000.21","3,032.69","2,471.80","1.42M","-14.43%"
"01/20/2022","3,004.72","3,084.48","3,270.71","2,989.19","481.08K","-2.56%"
"01/19/2022","3,083.65","3,160.15","3,173.63","3,049.30","459.81K","-2.42%"
"01/18/2022","3,160.15","3,209.43","3,242.47","3,084.48","399.19K","-1.53%"
